Entidad;Objeto;FNA;GNA;NAM;SAG;LIMa_100k_;FDC;Escala;created_us;created_da;last_edite;last_edi_1;Pais_100KR;SHAPE_STAr;SHAPE_STLe
0;Pa°s;;;;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;624,1603759;429,4798987
0;Pa°s;;;;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,000489729;0,182208868
0;Pa°s;Mayotte (FRA);;Mayotte (FRA);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,03288021;1,294389468
0;Pa°s;Guayana Francesa (Francia);;Guayana Francesa (Francia);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;6,791912671;14,14105616
0;Pa°s;Martinica (Francia);;Martinica (Francia);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,09207851;2,026431418
0;Pa°s;Guadalupe (Francia);;Guadalupe (Francia);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,140069401;3,180950116
0;Pa°s;Islas KerguelÇn (FRA);;Islas KerguelÇn (FRA);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,863695549;16,25879915
0;Pa°s;Islas Crozet (FRA);;Islas Crozet (FRA);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,023969577;0,860447961
0;Pa°s;;;;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,001008362;0,121496013
0;Pa°s;;;;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,005445765;0,273314555
0;Pa°s;;;;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,001627336;0,250997055
0;Pa°s;;;;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;3,65906E-06;0,008738109
0;Pa°s;;;;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,000343591;0,08317704
0;Pa°s;;;;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;2,94083E-05;0,024838136
0;Pa°s;;;;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,000163128;0,058351717
0;Pa°s;Uni¢n de las Comoras;;Comoras;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,138752075;3,115650617
0;Pa°s;Groenlandia (Dinamarca);;Groenlandia (Dinamarca);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;677,5095682;235,6782158
0;Pa°s;Rep£blica Federativa del Brasil;Rep£blica Federativa;Brasil;;4;;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;712,0921645;269,8745124
0;Pa°s;Rep£blica de Chile;-2;Chile;;4;;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;78,65399718;882,2302053
0;Pa°s;Rep£blica Oriental del Uruguay;Rep£blica;Uruguay;;4;;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;17,15858458;20,24073042
0;Pa°s;Rep£blica del Paraguay;Rep£blica;Paraguay;;4;;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;35,2190264;42,72417376
0;Pa°s;Aruba (NLD);;Aruba (NLD);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,014118879;0,652367088
0;Pa°s;Rep£blica de Colombia;Rep£blica;Colombia;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;92,56084931;83,2705172
0;Pa°s;Rep£blica de Costa Rica;Rep£blica;Costa Rica;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;4,21732586;18,38046895
0;Pa°s;Rep£blica de Cuba;Rep£blica;Cuba;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;9,59075598;54,16247976
0;Pa°s;Antillas Holandesas (NLD);;Antillas Holandesas (NLD);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,06083507;2,078001489
0;Pa°s;Caim†n (GBR);;Caim†n (GBR);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,026596904;1,70495528
0;Pa°s;Rep£blica Dominicana;Rep£blica;Rep£blica Dominicana;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;4,15377013;14,44888538
0;Pa°s;Rep£blica del Ecuador;Rep£blica;Ecuador;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;20,72962188;39,67947295
0;Pa°s;Rep£blica de Guatemala;Rep£blica;Guatemala;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;9,174973468;17,75766301
0;Pa°s;Rep£blica Guyana;Rep£blica;Guyana;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;17,17472191;29,80031981
0;Pa°s;Rep£blica de Honduras;Rep£blica;Honduras;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;9,426256432;26,13692623
0;Pa°s;Rep£blica de Hait°;Rep£blica;Hait°;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;2,306569955;16,2108667
0;Pa°s;Rep£blica de Nicaragua;Rep£blica;Nicaragua;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;10,71786175;22,11717437
0;Pa°s;Rep£blica de Panam†;Rep£blica;Panam†;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;6,120870734;35,64038678
0;Pa°s;Rep£blica del Per£;Rep£blica;Per£;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;106,7709899;79,00174416
0;Pa°s;Rep£blica de El Salvador;Rep£blica;El Salvador;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;1,714399734;8,310223178
0;Pa°s;Rep£blica de Suriname;Rep£blica;Suriname;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;10,45869485;16,93105235
